date,product,units_sold,revenue,region
2024-04-12,Sugar,195,#VALUE!,Central
2024-11-15,Coffee Powder,151,265826.62,South
2024-12-04,Shampoo,184,284066.26,East
2024-08-05,Face Wash,119,48685.66,
2024-03-23,Biscuits,46,55406.69,
2024-08-02,ABCD1234,37,1115.89,South
2024-01-29,Biscuits,104,30578.42,North
2024-11-03,Sunflower Oil,105,N/A,South
2024-07-28,Sugar,82,140279.87,unknown
2024-02-07,Rice Basmati,13,9638.02,West
2024-07-08,Sunflower Oil,96,76811.62,South
2024-06-08,unknown,183,90309.78,North
2024-08-03,Salt,,163034.38,East
2024-05-28,Toothpaste,41,57045.11,West
2024-06-21,Tea Leaves,,68841.06,South
2024-05-13,Detergent,181,302369.15,North
2024-04-13,,173,343492.19,South
2024-08-01,Soap Bar,197,318614.82,North
2024-06-06,N/A,107,213069.51,Central
2024-02-21,Notebook,45,32502.75,West
2024-04-01,Sugar,147,193538.1,West
2024-11-16,Biscuits,20,40073.39,?
32-13-2024,Soap Bar,4,3134.04,North
2024-01-25,Sugar,75,-9999.99,
2024-04-27,Wheat Flour,70,52633.42,Central
2024-06-30,Pen Set,191,295973.05,North
N/A,Sunflower Oil,184,246397.87,North
2024-11-16,Salt,29,0.0,North
2024-12-15,Notebook,61,91591.26,South
2024-03-26,Tea Leaves,151,,East
2024-03-08,Face Wash,143,37308.53,unknown
2024-12-15,Tea Leaves,9,4729.86,North
2024-05-27,Coffee Powder,199,231191.0,East
2024-10-17,N/A,8,2450.75,North
2024-05-10,Notebook,1,88.6,West
,Coffee Powder,0,##,Central
2024-02-21,Sugar,45,0.0,South
2024-05-11,Soap Bar,130,202805.2,South
2024-08-03,Soap Bar,unknown,46669.27,North
2024-08-11,,13,5427.14,North
2024-05-31,Tea Leaves,unknown,53470.13,North
2024-03-13,Pen Set,5,3166.93,North
not-a-date,Tea Leaves,195,249602.5,North
2024-07-08,Soap Bar,197,246548.9,North
2024-05-04,,,19172.99,South
2024-12-06,Rice Basmati,68,error,N/A
2024-12-26,Notebook,83,41870.98,North
2024-07-22,Wheat Flour,72,78381.6,N/A
2024/99/01,Pen Set,109,146389.54,
2024-04-21,Toothpaste,4,7160.66,South
2024-12-19,Sunflower Oil,27,10246.24,North
2024-09-26,Pen Set,41,54319.37,North
2024-07-19,TBD,56,96709.54,East
2024-11-20,Salt,-99,29999.44,South
2024-03-15,Tea Leaves,188,269826.96,?
2024-01-03,Face Wash,nil,4428.57,Central
2024-04-07,na,56,34743.66,East
2024-11-11,Tea Leaves,0,145113.19,Central
2024-08-31,Shampoo,46,78405.73,
2024-06-25,Coffee Powder,,104410.44,East
2024-12-18,test,171,150840.58,
2024-08-31,Pen Set,98,137119.57,South
2024-06-29,Salt,2,1213.7,999
2024-05-21,Sunflower Oil,-5,126085.41,Central
2024-05-14,Coffee Powder,33,28357.33,East
2024-13-45,Toothpaste,,53203.52,nil
2024-10-14,Toothpaste,91,89282.31,
2024-01-08,Toothpaste,118,160523.83,
2024-11-23,Face Wash,-,70152.02,
2024-01-17,Toothpaste,,94295.61,South
2024-06-27,Sunflower Oil,9,10179.24,West
2024-05-15,Salt,21,19290.52,East
2024-10-12,Rice Basmati,60,88706.22,South
2024-04-23,Tea Leaves,103,59305.06,
2024-08-25,Pen Set,82,30840.07,North
2024-10-11,Sunflower Oil,120,31508.88,West
2024-06-17,Detergent,,130596.93,South
2024-04-27,Sunflower Oil,,,West
2024-05-14,Soap Bar,,140890.56,West
2024-03-27,Sunflower Oil,96,27643.24,South
2024-09-22,Shampoo,115,179100.43,West
2024-06-25,Coffee Powder,81,109695.11,Central
2024-10-03,Pen Set,,#VALUE!,South
2024-05-09,,16,22348.56,Central
2024-04-19,Rice Basmati,68,109470.84,South
2024-11-26,Sunflower Oil,11,19425.16,East
2024-07-07,Detergent,86,135229.35,West
N/A,Tea Leaves,N/A,166184.55,North
2024-07-02,Tea Leaves,82,159562.79,South
2024-04-28,Pen Set,138,#VALUE!,North
2024-02-27,Pen Set,57,6672.83,Central
2024-11-29,,49,52149.79,Central
2024-12-09,,,,West
2024-03-11,Tea Leaves,64,29993.62,North
2024-02-12,Sunflower Oil,,15803.88,Central
2024-04-29,Coffee Powder,117,242538.99,South
2024-05-24,Detergent,88,130355.28,North
2024-04-11,Pen Set,19,N/A,North
2024/99/01,,69,119494.93,West
2024-08-07,Sugar,83,62178.84,East
